Delta Mass	USI	Cosine	Matching Peaks	Status
-0.0	mzspec:MSV000083559:11713.9.F.9D:scan:186	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.8.S.8G:scan:187	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.13.S.13E:scan:192	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.8.A.8A:scan:187	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.1.C.1C:scan:185	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.2.F.2A:scan:197	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.9.O.9F:scan:189	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.9.S.9C:scan:189	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.23.S.23C:scan:181	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.1.S.1F:scan:185	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.16.S.16G:scan:199	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.4.S.4D:scan:189	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.14.O.14B:scan:189	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.2.F.2I:scan:202	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.19.S.19E:scan:179	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.22.S.22A:scan:191	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.16.S.16A:scan:187	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.5.F.5F:scan:181	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.12.S.12F:scan:189	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.19.F.19B.WYD9:scan:180	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.20.F.20D:scan:191	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.17.S.17B:scan:194	1.0	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_5:scan:174	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.4.O.4G:scan:191	1.0	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_18:scan:184	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.14.S.14A:scan:186	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.8.S.8F:scan:186	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.2.C.2A:scan:187	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.15.S.15D:scan:185	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.3.O.3C:scan:180	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.1.F.1F:scan:188	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.15.O.15A:scan:183	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.16.O.16E:scan:179	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.15.O.15H:scan:190	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.9.O.9C:scan:191	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.13.S.13D:scan:185	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.4.S.4A:scan:190	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.24.O.24B:scan:184	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.8.O.8D:scan:189	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.24.S.24E:scan:194	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.9.F.9E:scan:186	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.10.S.10A:scan:191	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.15.S.15G:scan:192	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.2.S.2A:scan:184	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.6.S.6A:scan:197	1.0	8	NoID
-0.0	mzspec:MSV000080629:194:scan:219	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.9.S.9B:scan:199	1.0	8	NoID
0.0	mzspec:MSV000080629:3:scan:250	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.21.S.21E.P4:scan:190	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.21.S.21C:scan:190	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.20.S.20E:scan:176	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.Swab.Ctrl.1.3:scan:193	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.5.S.5B:scan:174	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.13.O.13B:scan:185	1.0	8	NoID
0.0	mzspec:MSV000080629:178:scan:196	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.1.S.1C:scan:187	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.25.S.25G:scan:182	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.5.F.5A:scan:191	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.5.O.5E.WYG11:scan:188	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.24.S.24C:scan:177	1.0	8	NoID
-0.0	mzspec:MSV000080627:ONR_Stool_16:scan:181	1.0	8	NoID
-0.0	mzspec:MSV000084314:MSV000083559:scan:133375	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.1.C.1D:scan:187	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.4.O.4B:scan:175	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.13.F.13C:scan:179	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.19.O.19F:scan:192	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.1.F.1B:scan:180	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.10.S.10C:scan:184	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.18.S.18C:scan:203	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.10.O.10A:scan:189	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.9.S.9D:scan:195	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.3.S.3C:scan:176	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.2.F.6.2E:scan:182	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.4.F.4A:scan:196	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.23.S.23A:scan:179	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.21.S.21G:scan:181	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.22.S.22C:scan:192	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.24.S.24B:scan:174	1.0	8	NoID
0.0	mzspec:MSV000083559:11713.9.O.9A:scan:184	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.17.O.17B:scan:192	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.18.S.18E:scan:185	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.8.F.8E:scan:189	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.4.S.4E:scan:188	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.23.S.23E:scan:186	1.0	8	NoID
-0.0	mzspec:MSV000083559:11713.15.S.15A:scan:198	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.21.S.21F:scan:197	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.2.S.2F:scan:187	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.15.S.15E:scan:189	0.99	8	NoID
0.0	mzspec:MSV000083559:11713.15.O.15C:scan:184	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.11.F.11B:scan:189	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.24.F.24B:scan:187	0.99	8	NoID
0.0	mzspec:MSV000083559:11713.8.S.8E:scan:190	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.2.O.2B:scan:176	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.23.S.23G:scan:181	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.5.S.5C:scan:182	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.11.S.11E:scan:197	0.99	8	NoID
0.0	mzspec:MSV000083559:11713.19.S.19C:scan:197	0.99	8	NoID
0.0	mzspec:MSV000083559:11713.14.S.14D:scan:196	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.1.S.1D:scan:188	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.14.O.14A:scan:190	0.99	8	NoID
0.0	mzspec:MSV000083559:11713.20.O.20E.WGD4:scan:182	0.99	8	NoID
0.0	mzspec:MSV000083559:11713.6.O.6D:scan:191	0.99	8	NoID
0.0	mzspec:MSV000080629:90:scan:262	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.1.F.1A:scan:191	0.99	8	NoID
-0.0	mzspec:MSV000080629:18:scan:217	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.2.S.2C:scan:188	0.99	8	NoID
-0.0	mzspec:MSV000083559:11713.7.F.7B:scan:185	0.99	8	NoID
0.0	mzspec:MSV000080629:57:scan:240	0.99	8	NoID
