USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009959831	CCMSLIB00009959831	0.92	6	Suspect related to Massbank:NA003096 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one (predicted molecular formula: C12H14O2) with delta m/z -42.047 (putative explanation: Deisopropylation, depropylation, dealkylation|Leu/Ile->Ala substitution|Val->Gly substitution; atomic difference: -3C,-6H|-3C,-6H|-3C,-6H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010007014	CCMSLIB00010007014	0.82	5	Suspect related to trans-Traumatic acid (predicted molecular formula: unknown) with delta m/z 26.016 (putative explanation: Acetaldehyde +26|Ala->Pro substitution|unspecified; atomic difference: 2C,2H|2C,2H|2C,2H)	[M-CH4O3+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009938171	CCMSLIB00009938171	0.77	5	Suspect related to 5-Hexenoic acid, 6-[(2R,3S)-3-[[[(4-chloro-2-methylphenyl)sulfonyl]amino]methyl]bicyclo[2.2.2]oct-2-yl]-, (5Z)- (predicted molecular formula: unknown) with delta m/z -44.026 (putative explanation: Dealkoxylation, dehydroxyethylation|Thr->Gly substitution; atomic difference: -1C,-2H,-1O|-2C,-4H,-1O)	[M-C7H8ClNO2S+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009949654	CCMSLIB00009949654	0.77	5	Suspect related to Isoalantolactone (predicted molecular formula: C13H20O2) with delta m/z -42.01 (putative explanation: Glu->Ser substitution|Hydrolysis, deacetylation; atomic difference: -2C,-2H,-1O|-2C,-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009979992	CCMSLIB00009979992	0.77	5	Suspect related to Polygodial (predicted molecular formula: C13H20O2) with delta m/z -26.015 (putative explanation: Alkyl loss (typically partial loss from ring)|Pro->Ala substitution; atomic difference: -2C,-2H|-2C,-2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009979991	CCMSLIB00009979991	0.76	5	Suspect related to Polygodial (predicted molecular formula: C12H16O3) with delta m/z -26.052 (putative explanation: Leu/Ile->Ser substitution; atomic difference: -3C,-6H,1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009964629	CCMSLIB00009964629	0.76	5	Suspect related to Methyl .gamma.-linolenate (predicted molecular formula: unknown) with delta m/z -70.114 (putative explanation: unspecified; atomic difference: unspecified)	[M-CH4O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010007013	CCMSLIB00010007013	0.76	5	Suspect related to trans-Traumatic acid (predicted molecular formula: unknown) with delta m/z 25.979 (putative explanation: unspecified; atomic difference: unspecified)	[M-CH4O3+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009943888	CCMSLIB00009943888	0.73	5	Suspect related to Cedrol (predicted molecular formula: C12H16O3) with delta m/z -14.09 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010007006	CCMSLIB00010007006	0.73	5	Suspect related to trans-Traumatic acid (predicted molecular formula: C12H18O4) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-2H2O+H]+	1
