USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980445	CCMSLIB00009980445	0.79	7	Suspect related to Protopanaxadiol (predicted molecular formula: C20H44N8O5) with delta m/z 15.958 (putative explanation: Leu/Ile->Glu substitution|Val->Asp substitution|Demethylation+carboxylation; atomic difference: -1C,-4H,2O|-1C,-4H,2O|2O,-1C,-4H)	[M-3H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009989769	CCMSLIB00009989769	0.78	6	Suspect related to Spectral Match to 9,10-Dihydroxy-12Z-octadecenoic acid from NIST14 (predicted molecular formula: C26H46O4) with delta m/z 126.104 (putative explanation: octanoyl; atomic difference: 8C,14H,1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009995917	CCMSLIB00009995917	0.78	6	Suspect related to Spectral Match to Monolinolenin (9c,12c,15c) from NIST14 (predicted molecular formula: C26H46O4) with delta m/z 70.078 (putative explanation: Labeling transglutaminase substrate on glutamine side chain|unspecified; atomic difference: 5C,10H|5C,10H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009948180	CCMSLIB00009948180	0.76	8	Suspect related to Ginsenoside Rg3 (R-form) (predicted molecular formula: unknown) with delta m/z 15.958 (putative explanation: Leu/Ile->Glu substitution|Val->Asp substitution|Demethylation+carboxylation; atomic difference: -1C,-4H,2O|-1C,-4H,2O|2O,-1C,-4H)	[M-C12H26O13+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009942932	CCMSLIB00009942932	0.76	8	Suspect related to Bacosine (predicted molecular formula: C41H68O15) with delta m/z -34.042 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947289	CCMSLIB00009947289	0.74	6	Suspect related to Erythrodiol (predicted molecular formula: C30H50O3) with delta m/z 15.995 (putative explanation: Ala->Ser substitution|Oxidation or Hydroxylation|Phe->Tyr substitution; atomic difference: 1O|1O|1O)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947332	CCMSLIB00009947332	0.73	7	Suspect related to Erythrodiol (predicted molecular formula: C30H46O) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009951747	CCMSLIB00009951747	0.73	7	Suspect related to Lupenone (predicted molecular formula: C30H46O) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009943207	CCMSLIB00009943207	0.72	6	Suspect related to Betulinic acid (predicted molecular formula: C30H46O) with delta m/z -34.004 (putative explanation: Hydroxylation, epoxidation (reverse)|nan (reverse); atomic difference: -2H,-2O|-2H,-2O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010003102	CCMSLIB00010003102	0.72	5	Suspect related to Uvaol (predicted molecular formula: C30H48O2) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009920466	CCMSLIB00009920466	0.72	6	Suspect related to (1R,3aS,9bS,11aR)-7-hydroxy-1-[(2R,4E)-6-hydroxy-6-methylhept-4-en-2-yl]-3a,6,6,9b,11a-pentamethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-4-one (predicted molecular formula: C23H44N4O4) with delta m/z -16.031 (putative explanation: Leu/Ile->Pro substitution; atomic difference: -1C,-4H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010003000	CCMSLIB00010003000	0.71	6	Suspect related to Ursolic acid methyl ester (predicted molecular formula: unknown) with delta m/z 12.0 (putative explanation: formaldehyde adduct|methylation and reduction|unspecified; atomic difference: 1C|1C|1C)	[M-C2H4O2+H]+	1
