USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009998097	CCMSLIB00009998097	0.87	7	Suspect related to Spectral Match to Pinolenic acid from NIST14 (predicted molecular formula: C19H36O4) with delta m/z 50.036 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009995699	CCMSLIB00009995699	0.87	7	Suspect related to Spectral Match to Monoelaidin from NIST14 (predicted molecular formula: C19H38O5) with delta m/z -10.021 (putative explanation: Pro->Ser substitution; atomic difference: -2C,-2H,1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009976131	CCMSLIB00009976131	0.87	7	Suspect related to NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate [IIN-based: Match] (predicted molecular formula: C19H38O5) with delta m/z 18.01 (putative explanation: Proline oxidation to 5-hydroxy-2-aminovaleric acid|water; atomic difference: 2H,1O|2H,1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009920374	CCMSLIB00009920374	0.84	6	Suspect related to (10E,15E)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid (predicted molecular formula: C18H34O6) with delta m/z 18.01 (putative explanation: Proline oxidation to 5-hydroxy-2-aminovaleric acid|water; atomic difference: 2H,1O|2H,1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009928580	CCMSLIB00009928580	0.79	6	Suspect related to 1-Linoleoylglycerol (predicted molecular formula: C19H36O4) with delta m/z -26.015 (putative explanation: Alkyl loss (typically partial loss from ring)|Pro->Ala substitution; atomic difference: -2C,-2H|-2C,-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009939457	CCMSLIB00009939457	0.79	6	Suspect related to 7-Amino-4-methyl-2H-1-benzopyran-2-one arachidonoyl amide (predicted molecular formula: unknown) with delta m/z 42.021 (putative explanation: Guanidination|amidino|unspecified; atomic difference: 1C,2H,2N|1C,2H,2N|1C,2H,2N)	[M-C10H9O2N+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009998618	CCMSLIB00009998618	0.77	6	Suspect related to Spectral Match to Stearidonic acid from NIST14 (predicted molecular formula: C16H34N5O2) with delta m/z 52.051 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004699632	CCMSLIB00004699632	0.76	6	1,2-dihydroxyheptadec-16-en-4-yl acetate	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009930842	CCMSLIB00009930842	0.76	6	Suspect related to 10,12-Tricosadiynoic acid (predicted molecular formula: C14H32N8O) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009973063	CCMSLIB00009973063	0.76	6	Suspect related to NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid (predicted molecular formula: C8H29N11O2) with delta m/z 14.033 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009940352	CCMSLIB00009940352	0.76	6	Suspect related to 9,10-Dihydroxy-12Z-octadecenoic acid (predicted molecular formula: C8H29N11O2) with delta m/z 14.033 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009995851	CCMSLIB00009995851	0.75	6	Suspect related to Spectral Match to Monolinolenin (9c,12c,15c) from NIST14 (predicted molecular formula: C22H32O2) with delta m/z -24.021 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003134780	CCMSLIB00003134780	0.74	6	Spectral Match to cis-4,7,10,13,16,19-Docosahexaenoic acid from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000845026	CCMSLIB00000845026	0.73	6	NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009990341	CCMSLIB00009990341	0.73	6	Suspect related to Spectral Match to 9Z,11E,13E-Octadecatrienoic acid methyl ester from NIST14 (predicted molecular formula: C19H36O4) with delta m/z 36.021 (putative explanation: 2x water; atomic difference: 4H,2O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009989446	CCMSLIB00009989446	0.73	6	Suspect related to Spectral Match to 9(10)-EpOME from NIST14 (predicted molecular formula: C19H36O4) with delta m/z 32.026 (putative explanation: unspecified; atomic difference: 1C,4H,1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000847592	CCMSLIB00000847592	0.72	5	NCGC00385126-01!1,2-dihydroxyheptadec-16-en-4-yl acetate	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000848385	CCMSLIB00000848385	0.72	5	NCGC00095546-02!2,4-dihydroxyheptadec-16-enyl acetate	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009940351	CCMSLIB00009940351	0.72	6	Suspect related to 9,10-Dihydroxy-12Z-octadecenoic acid (predicted molecular formula: C19H36O4) with delta m/z 14.016 (putative explanation: Asn->Gln substitution|Asp->Glu substitution|Gly->Ala substitution|Methylation|Ser->Thr substitution|Val->Leu/Ile substitution|chain elongation; atomic difference: 1C,2H|1C,2H|1C,2H|1C,2H|1C,2H|1C,2H|1C,2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009988101	CCMSLIB00009988101	0.72	5	Suspect related to Spectral Match to 12(13)-Epoxy-9Z-octadecenoic acid from NIST14 (predicted molecular formula: C19H38O5) with delta m/z 50.036 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003136833	CCMSLIB00003136833	0.71	6	Spectral Match to Monopalmitolein (9c) from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010004069	CCMSLIB00010004069	0.71	6	Suspect related to cis-13-Docosenoic acid (predicted molecular formula: C22H36O4) with delta m/z 25.942 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009976064	CCMSLIB00009976064	0.71	5	Suspect related to NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate (predicted molecular formula: C19H38O3S) with delta m/z 17.993 (putative explanation: fluorination; atomic difference: 1F,-1H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009946144	CCMSLIB00009946144	0.71	6	Suspect related to Dihomo-.gamma.-linolenic acid methyl ester (predicted molecular formula: unknown) with delta m/z 39.994 (putative explanation: extra OH sodium adduct|Glyoxal-derived hydroimiadazolone|S-carbamoylmethylcysteine cyclization (N-terminus)|unspecified; atomic difference: 1H,1O|2C,1O|2C,1O|2C,1O)	[M-CH4O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009940404	CCMSLIB00009940404	0.7	6	Suspect related to 9,10-Dihydroxy-12Z-octadecenoic acid (predicted molecular formula: C19H38O5) with delta m/z 32.026 (putative explanation: unspecified; atomic difference: 1C,4H,1O)	[M-H2O+H]+	1
