Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000082433:874:scan:2544	0.8	12	NoID
0.0	mzspec:MSV000082433:M-455:scan:2550	0.78	11	NoID
-0.01	mzspec:MSV000089558:ME_C9_B21:scan:2620	0.77	12	NoID
0.0	mzspec:MSV000082433:298:scan:2551	0.75	11	NoID
-0.01	mzspec:MSV000084314:MSV000080015:scan:17569	0.74	11	NoID
-0.0	mzspec:MSV000088823:DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep2_5uL:scan:4006	0.74	11	NoID
-0.0	mzspec:MSV000087449:BLANK:scan:4294967295	0.74	11	NoID
0.0	mzspec:MSV000082433:M-463:scan:2556	0.74	11	NoID
-0.0	mzspec:MSV000081318:20170419_TS_006_1phase:scan:4695	0.74	11	NoID
0.01	mzspec:MSV000082433:504:scan:2606	0.74	11	NoID
-0.0	mzspec:MSV000081949:Wash_08:scan:1561	0.74	10	NoID
-0.0	mzspec:MSV000087694:6:scan:7769	0.74	10	NoID
0.0	mzspec:MSV000082433:M-307:scan:2620	0.74	10	NoID
-0.0	mzspec:MSV000080961:Mix_NIH21-24_Standard_MS1_17K_TOP8_C1_50uL:scan:7532	0.74	9	NoID
-0.01	mzspec:MSV000087995:DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep1:scan:7606	0.73	11	NoID
-0.01	mzspec:MSV000087995:DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep2:scan:6557	0.73	11	NoID
-0.01	mzspec:MSV000087995:DOM_Interlab-LCMS_Lab018_A5M_Pos_MS2_rep3:scan:6471	0.73	11	NoID
-0.01	mzspec:MSV000087995:DOM_Interlab-LCMS_Lab018_A_Pos_MS2_rep1:scan:6334	0.73	11	NoID
-0.01	mzspec:MSV000087995:DOM_Interlab-LCMS_Lab018_QCmix_Pos_MS2_rep1:scan:5385	0.73	11	NoID
-0.01	mzspec:MSV000087995:DOM_Interlab-LCMS_Lab018_PPLBlank_Pos_MS2_rep1:scan:5591	0.73	11	NoID
-0.01	mzspec:MSV000087995:DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep2:scan:7107	0.73	11	NoID
-0.0	mzspec:MSV000085693:4:scan:4100	0.73	11	NoID
-0.0	mzspec:MSV000082433:M-557:scan:2565	0.73	11	NoID
-0.01	mzspec:MSV000088823:DOM_Interlab-LCMS_Lab018_PPLBlank_Pos_MS2_rep1:scan:5591	0.73	11	NoID
-0.0	mzspec:MSV000082433:M-475:scan:2565	0.73	11	NoID
-0.01	mzspec:MSV000088823:DOM_Interlab-LCMS_Lab018_A45M_Pos_MS2_rep1:scan:7606	0.73	11	NoID
-0.0	mzspec:MSV000088823:DOM_Interlab_LCMS_Lab012_A_Pos_MS2_rep3:scan:2805	0.73	11	NoID
-0.01	mzspec:MSV000088823:DOM_Interlab-LCMS_Lab018_QCmix_Pos_MS2_rep1:scan:5429	0.73	11	NoID
