USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009946474	CCMSLIB00009946474	0.94	7	Suspect related to Docosatrienoic acid (predicted molecular formula: C22H40O3) with delta m/z 18.01 (putative explanation: Proline oxidation to 5-hydroxy-2-aminovaleric acid|water; atomic difference: 2H,1O|2H,1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009932154	CCMSLIB00009932154	0.9	7	Suspect related to 15-Hydroxy-11Z,13E-eicosadienoic acid (predicted molecular formula: C22H42O4) with delta m/z 46.042 (putative explanation: unspecified|unspecified; atomic difference: 2C,6H,1O|4H,3N)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009988289	CCMSLIB00009988289	0.9	7	Suspect related to Spectral Match to 13(S)-HODE methyl ester from NIST14 (predicted molecular formula: C22H42O4) with delta m/z 60.057 (putative explanation: unspecified|unspecified; atomic difference: 1C,6H,3N|3C,8H,1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009941305	CCMSLIB00009941305	0.9	7	Suspect related to 9Z,11E,13E-Octadecatrienoic acid methyl ester (predicted molecular formula: C22H42O4) with delta m/z 60.057 (putative explanation: unspecified|unspecified; atomic difference: 1C,6H,3N|3C,8H,1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009930966	CCMSLIB00009930966	0.88	7	Suspect related to 10E,12Z-octadecadienoic acid (predicted molecular formula: C21H36O4) with delta m/z 72.021 (putative explanation: unspecified|Dihydroxy methylglyoxal adduct|Gly->Glu substitution|carboxyethyl|methylglyoxal-derived carboxyethyllysine; atomic difference: 1C,2H,3N,1O|3C,4H,2O|3C,4H,2O|3C,4H,2O|3C,4H,2O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009949239	CCMSLIB00009949239	0.87	7	Suspect related to Hexadecanedioic acid (predicted molecular formula: C21H40O6) with delta m/z 102.068 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009931390	CCMSLIB00009931390	0.87	7	Suspect related to 12(S)-Hydroxy-16-heptadecynoic acid (predicted molecular formula: C21H38O5) with delta m/z 88.052 (putative explanation: PEG repeat unit x2; atomic difference: 4C,8H,2O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009931956	CCMSLIB00009931956	0.87	6	Suspect related to 13[(2R,3S)-3-Pentyloxiranyl]-8Z-tridecenoic acid (predicted molecular formula: C22H40O3) with delta m/z 28.031 (putative explanation: Acetaldehyde +28|Ala->Val substitution|Cys->Met substitution|Ethylation|di-Methylation; atomic difference: 2C,4H|2C,4H|2C,4H|2C,4H|2C,4H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009989468	CCMSLIB00009989468	0.87	6	Suspect related to Spectral Match to 9(10)-EpOME from NIST14 (predicted molecular formula: C22H40O3) with delta m/z 56.062 (putative explanation: Diethylation, analogous to Dimethylation|Gly->Leu/Ile substitution; atomic difference: 4C,8H|4C,8H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009941772	CCMSLIB00009941772	0.86	7	Suspect related to Aleuritic acid (predicted molecular formula: C20H42N3O4) with delta m/z 84.094 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009941850	CCMSLIB00009941850	0.86	6	Suspect related to Aleuritic acid (predicted molecular formula: C21H38O5) with delta m/z 102.068 (putative explanation: unspecified; atomic difference: unspecified)	[M-3H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009989641	CCMSLIB00009989641	0.86	6	Suspect related to Spectral Match to 9(10)-EpOME from NIST14 (predicted molecular formula: C21H38O5) with delta m/z 74.035 (putative explanation: unspecified|unspecified; atomic difference: 1C,4H,3N,1O|3C,6H,2O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009928836	CCMSLIB00009928836	0.85	6	Suspect related to 1-Monolinoleoyl-rac-glycerol (predicted molecular formula: unknown) with delta m/z 90.031 (putative explanation: unspecified; atomic difference: unspecified)	[M-C3H8O3+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009976149	CCMSLIB00009976149	0.84	7	Suspect related to NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate [IIN-based: Match] (predicted molecular formula: C22H42O4) with delta m/z 42.047 (putative explanation: Ala->Leu/Ile substitution|Gly->Val substitution|Propyl|tri-Methylation|unspecified; atomic difference: 3C,6H|3C,6H|3C,6H|3C,6H|3C,H6)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009973285	CCMSLIB00009973285	0.84	7	Suspect related to NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585] (predicted molecular formula: C22H42O4) with delta m/z 56.062 (putative explanation: Diethylation, analogous to Dimethylation|Gly->Leu/Ile substitution; atomic difference: 4C,8H|4C,8H)	[M-H2O+H]+	1
