file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G86973_1x_RH4_01_26470	-0.0	mzspec:MSV000084900:G86973_1x_RH4_01_26470:scan:1742	1	0.94	7	MSV000084900	NoID	MSV000084900	G86973_1x_RH4_01_26470.mzXML	plant
mzspec:MSV000084900:G73479_1x_10ul_RB7_01_19690	-0.0	mzspec:MSV000084900:G73479_1x_10ul_RB7_01_19690:scan:1726	1	0.94	7	MSV000084900	NoID	MSV000084900	G73479_1x_10ul_RB7_01_19690.mzXML	soda
mzspec:MSV000084900:G73488_1x_10ul_RA11_01_19779	-0.0	mzspec:MSV000084900:G73488_1x_10ul_RA11_01_19779:scan:1735	1	0.93	7	MSV000084900	NoID	MSV000084900	G73488_1x_10ul_RA11_01_19779.mzXML	tea
mzspec:MSV000084900:G86855_1x_RA12_01_23488	0.0	mzspec:MSV000084900:G86855_1x_RA12_01_23488:scan:1717	1	0.93	7	MSV000084900	NoID	MSV000084900	G86855_1x_RA12_01_23488.mzXML	grain/grass
mzspec:MSV000084900:G75694_BC7_01_18673	-0.0	mzspec:MSV000084900:G75694_BC7_01_18673:scan:1746	1	0.93	7	MSV000084900	NoID	MSV000084900	G75694_BC7_01_18673.mzXML	cod
mzspec:MSV000084900:G73480_1x_10ul_RC6_01_19806	-0.0	mzspec:MSV000084900:G73480_1x_10ul_RC6_01_19806:scan:1716	1	0.93	7	MSV000084900	NoID	MSV000084900	G73480_1x_10ul_RC6_01_19806.mzXML	soda
mzspec:MSV000084900:G86937_1x_BB4_01_23136	-0.0	mzspec:MSV000084900:G86937_1x_BB4_01_23136:scan:1731	1	0.92	7	MSV000084900	NoID	MSV000084900	G86937_1x_BB4_01_23136.mzXML	brown rice
mzspec:MSV000084900:G86721_1x_RF5_01_21831	-0.0	mzspec:MSV000084900:G86721_1x_RF5_01_21831:scan:1735	1	0.92	7	MSV000084900	NoID	MSV000084900	G86721_1x_RF5_01_21831.mzXML	plant
mzspec:MSV000084900:G75697_rerun_BG7_01_18771	-0.0	mzspec:MSV000084900:G75697_rerun_BG7_01_18771:scan:1744	1	0.92	7	MSV000084900	NoID	MSV000084900	G75697_rerun_BG7_01_18771.mzXML	steak
mzspec:MSV000084900:G75700_BE7_01_18703	0.0	mzspec:MSV000084900:G75700_BE7_01_18703:scan:1732	1	0.91	6	MSV000084900	NoID	MSV000084900	G75700_BE7_01_18703.mzXML	bony fish
