Delta Mass	USI	Cosine	Matching Peaks	Status
0.05	mzspec:MSV000085467:180821_PMA_JM_083:scan:4127	0.97	5	NoID
0.05	mzspec:MSV000080905:P5_EMP_63:scan:136	0.95	5	NoID
0.04	mzspec:MSV000087087:5556882:scan:187	0.94	5	NoID
0.05	mzspec:MSV000087087:5556776:scan:345	0.93	5	NoID
-0.02	mzspec:MSV000087087:5556895:scan:310	0.92	5	NoID
-0.02	mzspec:MSV000080905:P2_EMP_63:scan:310	0.91	5	NoID
0.05	mzspec:MSV000082953:P5_B7:scan:236	0.91	5	NoID
0.05	mzspec:MSV000087087:5556702:scan:342	0.91	5	NoID
-0.02	mzspec:MSV000080905:P2_EMP_32:scan:300	0.9	5	NoID
-0.02	mzspec:MSV000080905:P2_EMP_17:scan:330	0.9	5	NoID
0.05	mzspec:MSV000087087:5556652:scan:217	0.89	5	NoID
-0.02	mzspec:MSV000087087:5556881:scan:295	0.89	5	NoID
0.05	mzspec:MSV000087087:5556688:scan:350	0.89	5	NoID
0.05	mzspec:MSV000087087:5556893:scan:228	0.88	5	NoID
-0.02	mzspec:MSV000080905:P3_EMP_3:scan:286	0.88	5	NoID
-0.02	mzspec:MSV000087087:5556733:scan:312	0.88	5	NoID
-0.02	mzspec:MSV000087087:5556701:scan:313	0.88	5	NoID
-0.02	mzspec:MSV000087087:5556778:scan:316	0.87	5	NoID
-0.02	mzspec:MSV000087087:5556704:scan:298	0.87	5	NoID
-0.02	mzspec:MSV000087087:5556874:scan:308	0.87	5	NoID
-0.02	mzspec:MSV000087087:5556639:scan:309	0.85	5	NoID
-0.02	mzspec:MSV000087087:5556746:scan:302	0.85	5	NoID
-0.02	mzspec:MSV000087087:5556877:scan:295	0.85	5	NoID
0.05	mzspec:MSV000087087:5556730:scan:226	0.85	5	NoID
0.05	mzspec:MSV000088137:2180:scan:290	0.84	5	NoID
0.05	mzspec:MSV000087087:5556760:scan:353	0.84	5	NoID
-0.02	mzspec:MSV000087087:5556745:scan:241	0.84	5	NoID
-0.02	mzspec:MSV000088137:mars00094:scan:308	0.84	5	NoID
-0.02	mzspec:MSV000087087:5556861:scan:313	0.83	5	NoID
0.05	mzspec:MSV000080905:P2_EMP_93:scan:288	0.82	5	NoID
-0.02	mzspec:MSV000087087:5556670:scan:299	0.82	5	NoID
-0.02	mzspec:MSV000087087:5556667:scan:248	0.82	5	NoID
0.05	mzspec:MSV000088137:2194:scan:347	0.81	5	NoID
0.04	mzspec:MSV000087087:5556749:scan:201	0.81	5	NoID
0.05	mzspec:MSV000087087:5556777:scan:342	0.81	5	NoID
-0.02	mzspec:MSV000087087:5556763:scan:306	0.81	5	NoID
-0.02	mzspec:MSV000087087:5556764:scan:296	0.81	5	NoID
-0.02	mzspec:MSV000087087:5556734:scan:304	0.81	5	NoID
0.05	mzspec:MSV000088137:2207:scan:293	0.8	5	NoID
0.05	mzspec:MSV000088137:2209:scan:354	0.8	5	NoID
0.05	mzspec:MSV000088137:2034:scan:338	0.8	5	NoID
0.05	mzspec:MSV000087087:5556829:scan:214	0.8	5	NoID
-0.02	mzspec:MSV000087087:5556638:scan:305	0.79	5	NoID
-0.02	mzspec:MSV000087087:5556815:scan:302	0.79	5	NoID
-0.02	mzspec:MSV000088137:2254:scan:302	0.79	5	NoID
0.05	mzspec:MSV000088137:2168:scan:273	0.78	5	NoID
0.05	mzspec:MSV000086209:20160906_pgk965_SloanSurfaceProject_Metabolomics_7-14:scan:878	0.78	5	NoID
-0.02	mzspec:MSV000088137:2208:scan:311	0.78	5	NoID
-0.02	mzspec:MSV000087087:5556668:scan:241	0.78	5	NoID
0.05	mzspec:MSV000089313:14HM388:scan:959	0.78	5	NoID
-0.02	mzspec:MSV000087087:5556717:scan:301	0.78	5	NoID
-0.02	mzspec:MSV000087087:5556669:scan:314	0.77	5	NoID
-0.02	mzspec:MSV000087087:5556640:scan:300	0.77	5	NoID
-0.02	mzspec:MSV000087087:5556689:scan:309	0.77	5	NoID
0.05	mzspec:MSV000089313:14HM223:scan:561	0.77	5	NoID
-0.02	mzspec:MSV000088137:2256:scan:310	0.76	5	NoID
0.05	mzspec:MSV000089313:14HM407:scan:943	0.75	5	NoID
-0.02	mzspec:MSV000087087:5556641:scan:292	0.74	5	NoID
-0.02	mzspec:MSV000087087:5556818:scan:315	0.74	5	NoID
0.05	mzspec:MSV000089313:14HM420:scan:1044	0.74	5	NoID
-0.02	mzspec:MSV000087087:5556795:scan:258	0.73	5	NoID
