USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009931770	CCMSLIB00009931770	1.0	7	Suspect related to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid (predicted molecular formula: C11H16O4) with delta m/z -82.115 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010002625	CCMSLIB00010002625	0.84	5	Suspect related to Undecanedioic acid (predicted molecular formula: C11H18O5) with delta m/z 13.979 (putative explanation: Thr->Asp substitution|Tryptophan oxidation to oxolactone|aldehyde and ketone modifications|hydroxylation difference carboxylation|proline oxidation to pyroglutamic acid|Oxidation, epoxidation; atomic difference: -2H,1O|-2H,1O|-2H,1O|-2H,1O|-2H,1O|1O,-2H)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010002624	CCMSLIB00010002624	0.79	6	Suspect related to Undecanedioic acid (predicted molecular formula: C11H19O3P) with delta m/z 13.964 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009945095	CCMSLIB00009945095	0.75	5	Suspect related to Costunolide (predicted molecular formula: C11H16O4) with delta m/z -38.053 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009965783	CCMSLIB00009965783	0.75	5	Suspect related to Myristoleic acid (predicted molecular formula: C11H16O4) with delta m/z -14.09 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009944976	CCMSLIB00009944976	0.75	5	Suspect related to Corey PG-lactone diol (predicted molecular formula: C10H16NO5) with delta m/z -38.053 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010002642	CCMSLIB00010002642	0.74	5	Suspect related to Undecanedioic acid (predicted molecular formula: C10H16O7) with delta m/z 31.953 (putative explanation: unspecified; atomic difference: unspecified)	[M-3H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009966359	CCMSLIB00009966359	0.73	6	Suspect related to N-Dodecanoyl-DL-homoserine lactone (predicted molecular formula: unknown) with delta m/z 12.036 (putative explanation: Ser->Val substitution|Thr->Leu/Ile substitution; atomic difference: 2C,4H,-1O|2C,4H,-1O)	[183.1]	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009931771	CCMSLIB00009931771	0.72	5	Suspect related to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid (predicted molecular formula: C12H20O3) with delta m/z -82.078 (putative explanation: nan (reverse); atomic difference: -6C,-10H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009931653	CCMSLIB00009931653	0.71	5	Suspect related to 13-Keto-9Z,11E-octadecadienoic acid (predicted molecular formula: C12H20O3) with delta m/z -82.078 (putative explanation: nan (reverse); atomic difference: -6C,-10H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009988488	CCMSLIB00009988488	0.71	5	Suspect related to Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14 (predicted molecular formula: C12H20O3) with delta m/z -82.078 (putative explanation: nan (reverse); atomic difference: -6C,-10H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009932414	CCMSLIB00009932414	0.71	5	Suspect related to 16-Hydroxyhexadecanoic acid (predicted molecular formula: C12H20O3) with delta m/z -24.074 (putative explanation: unspecified; atomic difference: unspecified)	[M-3H2O+H]+	1
