USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947154	CCMSLIB00009947154	0.83	5	Suspect related to Epigallocatechin gallate (predicted molecular formula: unknown) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-C7H6O5+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006367074	CCMSLIB00006367074	0.83	5	(+)Catechin	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679850	CCMSLIB00006679850	0.83	5	CATECHIN	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006684695	CCMSLIB00006684695	0.83	5	EPICATECHIN	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000222062	CCMSLIB00000222062	0.83	5	Massbank:PB001330 Catechin|(2R,3S)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010111124	CCMSLIB00010111124	0.83	5	Cianidanol CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004684181	CCMSLIB00004684181	0.83	5	Catechin	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003135625	CCMSLIB00003135625	0.83	5	Spectral Match to (+)-Catechin from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006366826	CCMSLIB00006366826	0.83	5	(+)Catechin	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010112793	CCMSLIB00010112793	0.82	5	Epicatechin CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004719856	CCMSLIB00004719856	0.82	5	Catechin	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010111122	CCMSLIB00010111122	0.82	5	Cianidanol CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010111123	CCMSLIB00010111123	0.82	5	Cianidanol CollisionEnergy:102040	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003136942	CCMSLIB00003136942	0.82	5	Spectral Match to (-)-Epicatechin from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009975113	CCMSLIB00009975113	0.82	5	Suspect related to NCGC00385223-01!(2R,3S)-7-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5-diol (predicted molecular formula: C15H14O6) with delta m/z -132.042 (putative explanation: Pentose (reverse); atomic difference: -5C,-8H,-4O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006679971	CCMSLIB00006679971	0.82	5	EPICATECHIN	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000222069	CCMSLIB00000222069	0.82	5	Massbank:PB001338 Epicatechin|(2R,3R)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006366867	CCMSLIB00006366867	0.82	5	(+)Catechin	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004691487	CCMSLIB00004691487	0.82	5	(-)-epicatechin	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003135476	CCMSLIB00003135476	0.82	5	Spectral Match to (+)-Catechin from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000222542	CCMSLIB00000222542	0.82	5	Massbank:PB006281 (-)-Epicatechin|(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00000081476	CCMSLIB00000081476	0.82	5	Catechin	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006411203	CCMSLIB00006411203	0.82	5	(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00004719835	CCMSLIB00004719835	0.82	5	Catechin	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006112902	CCMSLIB00006112902	0.81	5	D-(+)-Catechin - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003138104	CCMSLIB00003138104	0.81	5	Spectral Match to (-)-Epicatechin from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003139989	CCMSLIB00003139989	0.81	5	Spectral Match to (+)-Catechin from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006112904	CCMSLIB00006112904	0.81	5	D-(+)-Catechin - 40.0 eV	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009970303	CCMSLIB00009970303	0.81	5	Suspect related to NCGC00347390-02!(2R,3S)-7-[(2S,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5-diol (predicted molecular formula: C15H14O6) with delta m/z -132.042 (putative explanation: Pentose (reverse); atomic difference: -5C,-8H,-4O)	[M+H]+	1
