USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947277	CCMSLIB00009947277	0.9	9	Suspect related to Erythrodiol (predicted molecular formula: C30H48O2) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009943150	CCMSLIB00009943150	0.88	9	Suspect related to Betulin (predicted molecular formula: C30H48O2) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009948065	CCMSLIB00009948065	0.85	8	Suspect related to Ginsenoside F1 (predicted molecular formula: unknown) with delta m/z 17.973 (putative explanation: Pro->Asp substitution; atomic difference: -1C,-2H,2O)	[M-C6H16O8+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980475	CCMSLIB00009980475	0.8	7	Suspect related to Protopanaxadiol (predicted molecular formula: C30H50O3) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009920478	CCMSLIB00009920478	0.8	8	Suspect related to (1R,3aS,9bS,11aR)-7-hydroxy-1-[(2R,4E)-6-hydroxy-6-methylhept-4-en-2-yl]-3a,6,6,9b,11a-pentamethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-4-one (predicted molecular formula: C30H50O3) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947680	CCMSLIB00009947680	0.79	8	Suspect related to Friedelin (predicted molecular formula: C30H48O2) with delta m/z 13.979 (putative explanation: Thr->Asp substitution|Tryptophan oxidation to oxolactone|aldehyde and ketone modifications|hydroxylation difference carboxylation|proline oxidation to pyroglutamic acid|Oxidation, epoxidation; atomic difference: -2H,1O|-2H,1O|-2H,1O|-2H,1O|-2H,1O|1O,-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009920477	CCMSLIB00009920477	0.78	8	Suspect related to (1R,3aS,9bS,11aR)-7-hydroxy-1-[(2R,4E)-6-hydroxy-6-methylhept-4-en-2-yl]-3a,6,6,9b,11a-pentamethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-4-one (predicted molecular formula: C25H51N2O3P) with delta m/z 1.999 (putative explanation: S isotope|Cl isotope|Br isotope|Glu->Met substitution; atomic difference: (34)S|(37)Cl|(81)Br|2H,-2O,1S)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010002917	CCMSLIB00010002917	0.77	7	Suspect related to Ursolic acid (predicted molecular formula: C30H50O3) with delta m/z 2.016 (putative explanation: Pro->Val substitution|reduction; atomic difference: 2H|2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009926211	CCMSLIB00009926211	0.77	6	Suspect related to .alpha.-Pinene oxide (predicted molecular formula: unknown) with delta m/z 136.125 (putative explanation: unspecified; atomic difference: unspecified)	[2M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009943184	CCMSLIB00009943184	0.77	7	Suspect related to Betulin (predicted molecular formula: C20H46N10O2) with delta m/z 15.995 (putative explanation: Ala->Ser substitution|Oxidation or Hydroxylation|Phe->Tyr substitution; atomic difference: 1O|1O|1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009946858	CCMSLIB00009946858	0.76	6	Suspect related to Echinocystic acid (predicted molecular formula: C26H50O6) with delta m/z -14.007 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980474	CCMSLIB00009980474	0.75	7	Suspect related to Protopanaxadiol (predicted molecular formula: C29H46O4) with delta m/z -2.052 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010003042	CCMSLIB00010003042	0.75	7	Suspect related to Uvaol (predicted molecular formula: C20H44N10O) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009948141	CCMSLIB00009948141	0.75	7	Suspect related to Ginsenoside Rg3 (R-form) (predicted molecular formula: unknown) with delta m/z 15.995 (putative explanation: Ala->Ser substitution|Oxidation or Hydroxylation|Phe->Tyr substitution; atomic difference: 1O|1O|1O)	[M-C12H24O12+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009942950	CCMSLIB00009942950	0.74	6	Suspect related to Bacosine (predicted molecular formula: C30H48O2) with delta m/z -15.995 (putative explanation: Ser->Ala substitution|Tyr->Phe substitution|reduction; atomic difference: -1O|-1O|-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947348	CCMSLIB00009947348	0.74	6	Suspect related to Erythrodiol (predicted molecular formula: C30H50O3) with delta m/z 15.995 (putative explanation: Ala->Ser substitution|Oxidation or Hydroxylation|Phe->Tyr substitution; atomic difference: 1O|1O|1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009926246	CCMSLIB00009926246	0.73	7	Suspect related to .beta.-Amyrin (predicted molecular formula: C21H46N8O3) with delta m/z 31.99 (putative explanation: (Di)hydroxylation|Pro->Glu substitution|dihydroxy; atomic difference: 2O|2O|2O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980426	CCMSLIB00009980426	0.73	6	Suspect related to Protopanaxadiol (predicted molecular formula: C29H48O5) with delta m/z 15.958 (putative explanation: Leu/Ile->Glu substitution|Val->Asp substitution|Demethylation+carboxylation; atomic difference: -1C,-4H,2O|-1C,-4H,2O|2O,-1C,-4H)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010003119	CCMSLIB00010003119	0.72	6	Suspect related to Uvaol (predicted molecular formula: C30H50O3) with delta m/z 15.995 (putative explanation: Ala->Ser substitution|Oxidation or Hydroxylation|Phe->Tyr substitution; atomic difference: 1O|1O|1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009920476	CCMSLIB00009920476	0.71	7	Suspect related to (1R,3aS,9bS,11aR)-7-hydroxy-1-[(2R,4E)-6-hydroxy-6-methylhept-4-en-2-yl]-3a,6,6,9b,11a-pentamethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-4-one (predicted molecular formula: C23H44N4O4) with delta m/z 1.979 (putative explanation: Val->Thr substitution|Demethylation+hydroxylation (on same or differing sites); atomic difference: -1C,-2H,1O|1O,-1C,-2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009951765	CCMSLIB00009951765	0.71	7	Suspect related to Lupenone (predicted molecular formula: C23H44N4O4) with delta m/z 15.958 (putative explanation: Leu/Ile->Glu substitution|Val->Asp substitution|Demethylation+carboxylation; atomic difference: -1C,-4H,2O|-1C,-4H,2O|2O,-1C,-4H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009948067	CCMSLIB00009948067	0.71	6	Suspect related to Ginsenoside F1 (predicted molecular formula: unknown) with delta m/z 18.01 (putative explanation: Proline oxidation to 5-hydroxy-2-aminovaleric acid|water; atomic difference: 2H,1O|2H,1O)	[M-C6H16O8+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009928462	CCMSLIB00009928462	0.71	6	Suspect related to 1-Hydroxy Vitamin D2 (predicted molecular formula: C29H44O3) with delta m/z 27.995 (putative explanation: Formylation|Ser->Asp substitution|Thr->Glu substitution; atomic difference: 1C,1O|1C,1O|1C,1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009943183	CCMSLIB00009943183	0.7	6	Suspect related to Betulin (predicted molecular formula: C20H42N10O3) with delta m/z 15.958 (putative explanation: Leu/Ile->Glu substitution|Val->Asp substitution|Demethylation+carboxylation; atomic difference: -1C,-4H,2O|-1C,-4H,2O|2O,-1C,-4H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947314	CCMSLIB00009947314	0.7	6	Suspect related to Erythrodiol (predicted molecular formula: C20H42N10O3) with delta m/z 27.958 (putative explanation: Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione; atomic difference: -4H,2O)	[M-CH2O+H]+	1
