USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009947325	CCMSLIB00009947325	0.86	10	Suspect related to Erythrodiol (predicted molecular formula: C30H48O) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009926278	CCMSLIB00009926278	0.85	10	Suspect related to .beta.-Amyrin acetate (predicted molecular formula: unknown) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-C2H4O2+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009951813	CCMSLIB00009951813	0.83	9	Suspect related to Lupeol (predicted molecular formula: C30H48O) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010003027	CCMSLIB00010003027	0.78	9	Suspect related to Uvaol (predicted molecular formula: C30H46) with delta m/z -36.021 (putative explanation: 2x water (reverse); atomic difference: -4H,-2O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009932853	CCMSLIB00009932853	0.76	9	Suspect related to 17.alpha.-Methyl-5.beta.-androstan-3.alpha.,17.beta.-diol (predicted molecular formula: C30H50O2) with delta m/z 136.125 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009926235	CCMSLIB00009926235	0.76	8	Suspect related to .beta.-Amyrin (predicted molecular formula: C30H48O) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009951734	CCMSLIB00009951734	0.76	8	Suspect related to Lupenone (predicted molecular formula: C30H46) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009948031	CCMSLIB00009948031	0.73	8	Suspect related to Ginsenoside F1 (predicted molecular formula: unknown) with delta m/z -15.995 (putative explanation: Ser->Ala substitution|Tyr->Phe substitution|reduction; atomic difference: -1O|-1O|-1O)	[M-C6H16O8+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009942997	CCMSLIB00009942997	0.73	8	Suspect related to Bacosine (predicted molecular formula: C36H62O8) with delta m/z -31.991 (putative explanation: Glu->Pro substitution; atomic difference: -2O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009935958	CCMSLIB00009935958	0.72	7	Suspect related to 26-Hydroxycholesterol-(25R) (predicted molecular formula: C30H48O) with delta m/z 22.02 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010003093	CCMSLIB00010003093	0.71	7	Suspect related to Uvaol (predicted molecular formula: C30H48O) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009942790	CCMSLIB00009942790	0.71	7	Suspect related to Bacoside A3 (predicted molecular formula: unknown) with delta m/z -47.987 (putative explanation: cysteine oxidation to cysteic acid (reverse); atomic difference: -3O)	[M-C17H30O15+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009925875	CCMSLIB00009925875	0.71	7	Suspect related to .alpha.-Amyrin (predicted molecular formula: C30H48O) with delta m/z -2.016 (putative explanation: 2-amino-3-oxo-butanoic_acid|Intact disulfide bridge|Val->Pro substitution; atomic difference: -2H|-2H|-2H)	[M-H2O+H]+	1
