file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G78975_1x_RG5_01_18885	0.0	mzspec:MSV000084900:G78975_1x_RG5_01_18885:scan:739	1	0.97	9	MSV000084900	NoID	MSV000084900	G78975_1x_RG5_01_18885.mzXML	mango
mzspec:MSV000084900:73730_1x_BB9_01_17405	-0.0	mzspec:MSV000084900:73730_1x_BB9_01_17405:scan:739	1	0.97	9	MSV000084900	NoID	MSV000084900	73730_1x_BB9_01_17405.mzXML	mango
mzspec:MSV000084900:G75591_1x_RD4_01_18829	0.0	mzspec:MSV000084900:G75591_1x_RD4_01_18829:scan:746	1	0.95	9	MSV000084900	NoID	MSV000084900	G75591_1x_RD4_01_18829.mzXML	mango
mzspec:MSV000084900:G78973_1x_BB7_01_20144	-0.0	mzspec:MSV000084900:G78973_1x_BB7_01_20144:scan:411	1	0.8	7	MSV000084900	NoID	MSV000084900	G78973_1x_BB7_01_20144.mzXML	nutmeg
mzspec:MSV000084900:G74096_1x_10ul_RH10_01_19923	0.0	mzspec:MSV000084900:G74096_1x_10ul_RH10_01_19923:scan:444	1	0.76	6	MSV000084900	NoID	MSV000084900	G74096_1x_10ul_RH10_01_19923.mzXML	soybean
mzspec:MSV000084900:G79292_1x_rerun_RF7_01_20572	-0.0	mzspec:MSV000084900:G79292_1x_rerun_RF7_01_20572:scan:429	1	0.75	6	MSV000084900	NoID	MSV000084900	G79292_1x_rerun_RF7_01_20572.mzXML	orange
mzspec:MSV000084900:G78918_rerun_RA4_01_17526	-0.0	mzspec:MSV000084900:G78918_rerun_RA4_01_17526:scan:399	1	0.75	5	MSV000084900	NoID	MSV000084900	G78918_rerun_RA4_01_17526.mzXML	red lentil
mzspec:MSV000084900:G72511_1x_10ul_BD9_01_20293	0.01	mzspec:MSV000084900:G72511_1x_10ul_BD9_01_20293:scan:747	1	0.73	7	MSV000084900	NoID	MSV000084900	G72511_1x_10ul_BD9_01_20293.mzXML	sumac
mzspec:MSV000084900:G73436_1x_BF4_01_17322	-0.0	mzspec:MSV000084900:G73436_1x_BF4_01_17322:scan:369	1	0.73	6	MSV000084900	NoID	MSV000084900	G73436_1x_BF4_01_17322.mzXML	lemon
mzspec:MSV000084900:G79637_1x_RH11_01_18964	0.0	mzspec:MSV000084900:G79637_1x_RH11_01_18964:scan:426	1	0.73	6	MSV000084900	NoID	MSV000084900	G79637_1x_RH11_01_18964.mzXML	grapefruit
mzspec:MSV000084900:G73445_1x_rerun_BH7_01_17366	0.0	mzspec:MSV000084900:G73445_1x_rerun_BH7_01_17366:scan:444	1	0.73	6	MSV000084900	NoID	MSV000084900	G73445_1x_rerun_BH7_01_17366.mzXML	mandarin
mzspec:MSV000084900:G95857_1x_BD3_01_32272	0.0	mzspec:MSV000084900:G95857_1x_BD3_01_32272:scan:414	1	0.72	6	MSV000084900	NoID	MSV000084900	G95857_1x_BD3_01_32272.mzXML	cherry tomato
mzspec:MSV000084900:G72441_1x_BA6_01_17274	0.0	mzspec:MSV000084900:G72441_1x_BA6_01_17274:scan:362	1	0.72	6	MSV000084900	NoID	MSV000084900	G72441_1x_BA6_01_17274.mzXML	lemon
mzspec:MSV000084900:G95856_1x_BC3_01_32265	0.0	mzspec:MSV000084900:G95856_1x_BC3_01_32265:scan:418	1	0.72	6	MSV000084900	NoID	MSV000084900	G95856_1x_BC3_01_32265.mzXML	cherry tomato
mzspec:MSV000084900:G79624_5x_BH4_01_18895	-0.0	mzspec:MSV000084900:G79624_5x_BH4_01_18895:scan:366	1	0.72	6	MSV000084900	NoID	MSV000084900	G79624_5x_BH4_01_18895.mzXML	orange
mzspec:MSV000084900:G78839_BF12_01_19030	-0.0	mzspec:MSV000084900:G78839_BF12_01_19030:scan:426	1	0.72	5	MSV000084900	NoID	MSV000084900	G78839_BF12_01_19030.mzXML	red lentil
mzspec:MSV000084900:G79636_1x_RH10_01_18962	-0.0	mzspec:MSV000084900:G79636_1x_RH10_01_18962:scan:438	1	0.71	6	MSV000084900	NoID	MSV000084900	G79636_1x_RH10_01_18962.mzXML	grapefruit
mzspec:MSV000084900:G73437_1x_rerun_BE4_01_17364	-0.0	mzspec:MSV000084900:G73437_1x_rerun_BE4_01_17364:scan:437	1	0.71	6	MSV000084900	NoID	MSV000084900	G73437_1x_rerun_BE4_01_17364.mzXML	lemon
