USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009937888	CCMSLIB00009937888	0.84	6	Suspect related to 5,6-Epoxy-8Z,11Z,14Z-eicosatrienoic acid (predicted molecular formula: C18H30O2) with delta m/z -42.01 (putative explanation: Glu->Ser substitution|Hydrolysis, deacetylation; atomic difference: -2C,-2H,-1O|-2C,-2H,-1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009981853	CCMSLIB00009981853	0.82	6	Suspect related to Sclareolide (predicted molecular formula: C17H26O3) with delta m/z 27.995 (putative explanation: Formylation|Ser->Asp substitution|Thr->Glu substitution; atomic difference: 1C,1O|1C,1O|1C,1O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010000111	CCMSLIB00010000111	0.82	6	Suspect related to Spectral Match to cis-9-Hexadecenoic acid from NIST14 (predicted molecular formula: C17H26O3) with delta m/z 23.962 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010004562	CCMSLIB00010004562	0.82	6	Suspect related to cis-9-Hexadecenoic acid (predicted molecular formula: C17H26O3) with delta m/z 23.962 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009946696	CCMSLIB00009946696	0.81	7	Suspect related to Dodecanedioic acid (predicted molecular formula: C18H32O3) with delta m/z 66.083 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003136259	CCMSLIB00003136259	0.75	6	Spectral Match to Pinolenic acid from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009989669	CCMSLIB00009989669	0.75	5	Suspect related to Spectral Match to 9(S)-HpOTrE from NIST14 (predicted molecular formula: C14H28N6O) with delta m/z -13.981 (putative explanation: Asp->Thr substitution; atomic difference: 2H,-1O)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980329	CCMSLIB00009980329	0.75	6	Suspect related to Prostaglandin F2.alpha. (predicted molecular formula: unknown) with delta m/z -21.984 (putative explanation: glyoxal-derived AGE (reverse)|Sodium adduct (reverse); atomic difference: -2C,2H|1H,-1Na)	[M-3H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009980299	CCMSLIB00009980299	0.74	5	Suspect related to Prostaglandin F1.alpha. alcohol (predicted molecular formula: C18H32O3) with delta m/z -46.042 (putative explanation: nan (reverse)|nan (reverse); atomic difference: -2C,-6H,-1O|-4H,-3N)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009997305	CCMSLIB00009997305	0.74	7	Suspect related to Spectral Match to Palmitelaidic acid from NIST14 (predicted molecular formula: C18H30O2) with delta m/z 24.0 (putative explanation: unspecified; atomic difference: 2C)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009979907	CCMSLIB00009979907	0.74	6	Suspect related to Pinolenic acid methyl ester (predicted molecular formula: C18H30O2) with delta m/z -14.016 (putative explanation: Ala->Gly substitution|Gln->Asn substitution|Glu->Asp substitution|Leu/Ile->Val substitution|Thr->Ser substitution; atomic difference: -1C,-2H|-1C,-2H|-1C,-2H|-1C,-2H|-1C,-2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00003137316	CCMSLIB00003137316	0.73	6	Spectral Match to Pinolenic acid from NIST14	M+H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009938139	CCMSLIB00009938139	0.73	6	Suspect related to 5-Heptenoic acid, 7-[(1S,2S,3S,5R)-3-[[(4-iodophenyl)sulfonyl]amino]-6,6-dimethylbicyclo[3.1.1]hept-2-yl]-, (5Z)- (predicted molecular formula: unknown) with delta m/z 30.047 (putative explanation: unspecified; atomic difference: 2C,6H)	[M-C6H6INO2S+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009946634	CCMSLIB00009946634	0.7	5	Suspect related to Dodecanedioic acid (predicted molecular formula: C17H30O5) with delta m/z 84.058 (putative explanation: unspecified; atomic difference: unspecified)	[M-2H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009981854	CCMSLIB00009981854	0.7	5	Suspect related to Sclareolide (predicted molecular formula: C12H28N3O4) with delta m/z 28.021 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
