Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000084314:MSV000079712:scan:12170	0.99	9	NoID
0.0	mzspec:MSV000082953:P4_B3:scan:2458	0.98	9	NoID
0.0	mzspec:MSV000082953:P3_B3:scan:2449	0.98	9	NoID
0.0	mzspec:MSV000082953:P2_C8:scan:2469	0.98	9	NoID
0.0	mzspec:MSV000079697:group4_P1_A2:scan:2089	0.98	9	NoID
0.0	mzspec:MSV000082953:P1_B10:scan:2500	0.98	9	NoID
0.0	mzspec:MSV000082953:P4_C8:scan:2445	0.98	9	NoID
0.0	mzspec:MSV000082953:P5_B8:scan:2475	0.98	9	NoID
0.0	mzspec:MSV000079697:group4_P1_C5:scan:2091	0.98	9	NoID
0.0	mzspec:MSV000082953:P5_B10:scan:2476	0.98	9	NoID
0.0	mzspec:MSV000080627:ONR_Stool_17:scan:2070	0.98	9	NoID
0.0	mzspec:MSV000079697:group4_P1_C12:scan:2073	0.98	9	NoID
0.0	mzspec:MSV000082953:P4_C10:scan:2447	0.98	9	NoID
0.0	mzspec:MSV000079712:group4_P1_C12:scan:2073	0.98	9	NoID
-0.0	mzspec:MSV000079712:group4_P1_C4:scan:2077	0.98	9	NoID
0.0	mzspec:MSV000082953:P5_B12:scan:2423	0.98	9	NoID
0.0	mzspec:MSV000079712:group4_P1_A2:scan:2089	0.98	9	NoID
0.0	mzspec:MSV000079712:group4_P1_C5:scan:2091	0.98	9	NoID
-0.0	mzspec:MSV000079697:group4_P1_C4:scan:2077	0.98	9	NoID
0.0	mzspec:MSV000080627:ONR_Stool_24:scan:2059	0.98	8	NoID
0.0	mzspec:MSV000084314:MSV000080627:scan:49962	0.98	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_25:scan:2055	0.98	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_5:scan:2053	0.98	8	NoID
0.0	mzspec:MSV000082953:P3_A7:scan:2433	0.97	9	NoID
0.0	mzspec:MSV000082953:P2_C7:scan:2477	0.97	9	NoID
0.0	mzspec:MSV000079712:blank_2:scan:2093	0.97	9	NoID
0.0	mzspec:MSV000082953:P5_C5:scan:2430	0.97	9	NoID
0.0	mzspec:MSV000082953:P3_D12:scan:2447	0.97	9	NoID
0.0	mzspec:MSV000079714:blank_2:scan:2093	0.97	9	NoID
0.0	mzspec:MSV000084314:MSV000079710:scan:16367	0.97	9	NoID
0.0	mzspec:MSV000082953:P4_B6:scan:2479	0.97	9	NoID
0.0	mzspec:MSV000079697:blank_2:scan:2093	0.97	9	NoID
0.0	mzspec:MSV000080627:ONR_Stool_13:scan:2078	0.97	9	NoID
0.0	mzspec:MSV000079712:group4_P1_D1:scan:2073	0.97	8	NoID
0.0	mzspec:MSV000082953:P3_C2:scan:2430	0.97	8	NoID
0.0	mzspec:MSV000082953:P4_B9:scan:2452	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_32:scan:2081	0.97	8	NoID
-0.0	mzspec:MSV000080627:ONR_Stool_27:scan:2062	0.97	8	NoID
-0.0	mzspec:MSV000084314:MSV000083559:scan:200157	0.97	8	NoID
0.0	mzspec:MSV000084314:MSV000079714:scan:12324	0.97	8	NoID
0.0	mzspec:MSV000079697:group4_P1_D1:scan:2073	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_11:scan:2061	0.97	8	NoID
0.0	mzspec:MSV000082433:548:scan:2087	0.97	8	NoID
0.0	mzspec:MSV000082953:blank_swab_mid_180919033017:scan:2441	0.97	8	NoID
0.0	mzspec:MSV000083559:11713.SolventBlank.7.170215080547.4.P4.WYG1:scan:1612	0.97	8	NoID
0.0	mzspec:MSV000082953:P5_D8:scan:2431	0.97	8	NoID
0.0	mzspec:MSV000085120:BAX1158_2x_GC4_01_24973:scan:1196	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_31:scan:2081	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_1:scan:2050	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_21:scan:2071	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_3:scan:2065	0.97	8	NoID
0.0	mzspec:MSV000082953:P2_C12:scan:2434	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_34:scan:2053	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_19:scan:2056	0.97	8	NoID
0.01	mzspec:MSV000080627:ONR_Stool_23:scan:2052	0.97	8	NoID
0.0	mzspec:MSV000083559:11713.11.S.11C:scan:1628	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_15:scan:2058	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_28:scan:2065	0.97	8	NoID
-0.0	mzspec:MSV000083559:11713.21.S.21G:scan:1579	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_30:scan:2057	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_33:scan:2073	0.97	8	NoID
0.01	mzspec:MSV000080627:ONR_Stool_36:scan:2051	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_14:scan:2050	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_16:scan:2069	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_20:scan:2087	0.97	8	NoID
0.0	mzspec:MSV000080627:ONR_Stool_12:scan:2051	0.97	8	NoID
0.0	mzspec:MSV000084314:MSV000086312:scan:62756	0.97	7	NoID
0.0	mzspec:MSV000082953:P3_C5:scan:2449	0.96	9	NoID
0.0	mzspec:MSV000082953:P1_D3:scan:2470	0.96	9	NoID
